rxn_id,flux_exchange_normalized_lb,flux_exchange_normalized,flux_exchange_units,flux_exchange_ub,id,flux_exchange_stdev,comment_,simulation_dateAndTime,flux_exchange,flux_exchange_lb,used_,flux_exchange_normalized_stdev,simulation_id,flux_exchange_normalized_units,flux_exchange_normalized_ub
MDH2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5247,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
EX_mobd_LPAREN_e_RPAREN_,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5248,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
EX_fe3_LPAREN_e_RPAREN_,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5249,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
MDDCP4pp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5250,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ADD,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5251,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ACONTa,0.0,0.933543922495985,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5252,27.8691002020471,,2015-06-09 09:27:38,4.3176735736103,0.0,True,0.249312597608358,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.997250390433433
NDPK3,0.0,0.9557003773547,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5253,27.8691002020471,,2015-06-09 09:27:38,0.225557037609416,0.0,True,0.249976554959269,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999906219837076
ALAGLUE,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5254,27.8691002020471,,2015-06-09 09:27:38,0.309222479578443,0.0,True,0.25,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,1.0
I2FE2SS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5255,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
INSK,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5256,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
IPMD,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5257,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
FORtppi,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5258,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ATPS4rpp,0.0,0.214698992576143,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5259,27.8691002020471,,2015-06-09 09:27:38,1.40927931777649,0.0,True,0.238950850042861,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.955803400171444
PPND,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5260,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
COtex,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5261,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
METSOXR1,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5262,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ADK1,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5263,27.8691002020471,,2015-06-09 09:27:38,0.0,0.0,True,0.249680827870004,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.998723311480017
ADSK,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5264,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
FUM,0.751376005845748,0.997160110473399,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5265,27.6299125936758,,2015-06-09 09:27:38,111.15982014507,0.956750433485071,True,0.0614480366903508,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.997168152607151
COBALT2tpp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5266,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
imp_to_amp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5267,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
MALS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5268,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
H2tex,0.0,0.999999971666351,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5269,27.8691002020471,,2015-06-09 09:27:38,0.398674769427041,0.0,True,0.249999999974667,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.99999999989867
